		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
001000111   23   32   17   23   28   24   17   27  8.094875 0.424258 SUCCESS  32
001001011   24   31   30   23   20   22   20   29  6.045386 0.642148 SUCCESS  33
001001101   23   23   25   23   21   24   33   27  4.181251 0.840411 SUCCESS  34
001001111   21   23   17   19   32   20   26   25  7.517629 0.481947 SUCCESS  35
001010011   24   25   28   24   29   24   16   14  9.051436 0.337975 SUCCESS  36
001010101   22   22   22   29   26   20   25   26  2.680542 0.952780 SUCCESS  37
001010111   16   24   30   24   29   21   23   33  8.934928 0.347815 SUCCESS  38
001011011   25   32   30   23   27   21   14   28  9.782262 0.280642 SUCCESS  39
001011101   34   28   28   23   31   25   25   29  7.861858 0.447079 SUCCESS  40
001011111   31   21   15   17   15   32   28   25 15.152242 0.056252 SUCCESS  41
001100101   30   28   23   26   19   26   26   19  4.757173 0.783186 SUCCESS  42
001100111   27   25   25   24   20   25   24   32  3.613934 0.890170 SUCCESS  43
001101011   20   21   29   25   18   32   20   27  7.510347 0.482699 SUCCESS  44
001101101   20   21   29   22   25   23   26   23  2.739459 0.949629 SUCCESS  45
001101111   29   22   24   30   18   19   32   27  8.180933 0.415999 SUCCESS  46
001110101   30   34   29   33   22   22   16   28 13.292079 0.102187 SUCCESS  47
001110111   24   19   19   23   24   22   36   23  8.594670 0.377633 SUCCESS  48
001111011   19   36   22   28   22   22   21   28  9.256650 0.321110 SUCCESS  49
001111101   25   26   20   21   26   21   23   21  2.603091 0.956750 SUCCESS  50
001111111   15   21   30   35   22   22   29   28 12.256742 0.140111 SUCCESS  51
010000011   18   29   31   24   22   25   27   23  5.113318 0.745399 SUCCESS  52
010000111   32   22   25   23   22   23   28   29  4.563213 0.803076 SUCCESS  53
010001011   24   32   25   23   26   21   17   17  7.789040 0.454344 SUCCESS  54
010001111   19   33   15   21   24   23   27   26  9.085859 0.335105 SUCCESS  55
010010011   32   26   27   20   26   26   37   29 11.505395 0.174673 SUCCESS  56
010010111   23   22   28   25   19   28   24   29  3.579511 0.892932 SUCCESS  57
010011011   24   23   25   23   21   20   31   23  3.425932 0.904861 SUCCESS  58
010011111   28   19   19   24   29   20   23   27  5.111994 0.745542 SUCCESS  59
010100011   23   28   16   25   18   25   35   11 17.753160 0.023155 SUCCESS  60
010100111   27   22   25   29   27   26   20   25  2.673261 0.953162 SUCCESS  61
010101011   20   22   25   21   36   14   24   19 13.092823 0.108696 SUCCESS  62
010101111   21   24   22   21   31   26   23   34  7.172737 0.518116 SUCCESS  63
010110011   15   22   26   22   34   20   18   24 10.805020 0.212994 SUCCESS  64
010110111   25   27   27   27   26   22   23   13  6.815268 0.556689 SUCCESS  65
010111011   27   26   29   21   30   27   21   32  6.335333 0.609725 SUCCESS  66
010111111   25   22   19   24   21   26   21   23  2.670613 0.953300 SUCCESS  67
011000111   36   17   21   27   27   28   22   30 11.206842 0.190252 SUCCESS  68
011001111   26   18   31   26   26   27   24   36  9.902742 0.271919 SUCCESS  69
011010111   18   28   33   28   19   28   19   26  9.095789 0.334280 SUCCESS  70
011011111   22   26   20   24   19   26   30   20  4.671116 0.792079 SUCCESS  71
011101111   26   23   24   19   21   20   29   28  4.188532 0.839725 SUCCESS  72
011111111   22   23   34   29   24   26   29   30  7.471290 0.486739 SUCCESS  73
100000000   20   24   30   23   34   31   22   30  9.563808 0.296984 SUCCESS  74
100010000   26   23   22   25   24   22   30   25  2.045704 0.979579 SUCCESS  75
100100000   23   19   25   29   28   29   27   24  3.970079 0.859813 SUCCESS  76
100101000   25   17   22   30   20   22   32   11 15.024480 0.058671 SUCCESS  77
100110000   23   20   29   19   24   30   25   27  4.672440 0.791943 SUCCESS  78
100111000   21   31   24   19   18   38   27   21 13.925593 0.083726 SUCCESS  79
101000000   23   21   29   18   34   25   28   18  9.408905 0.308983 SUCCESS  80
101000100   19   19   21   28   15   22   27   26  7.889661 0.444322 SUCCESS  81
101001000   19   34   26   29   23   24   19   27  7.757265 0.457533 SUCCESS  82
101001100   29   28   19   19   21   26   20   26  5.442322 0.709422 SUCCESS  83
101010000   22   25   26   25   24   18   23   25  2.222452 0.973421 SUCCESS  84
101010100   18   20   23   46   15   24   32   31 30.449933 0.000176 FAILURE  85
101011000   31   22   21   24   38   23   10   20 20.109808 0.009928 FAILURE  86
