		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111000000   21   23   21   21   23   21   28   31  4.518860 0.807543 SUCCESS 118
111000010   23   31   30   33   22   20   28   22  8.249778 0.409459 SUCCESS 119
111000100   19   25   23   26   29   32   17   15 10.848049 0.210458 SUCCESS 120
111000110   22   24   37   28   22   23   40   21 18.656101 0.016811 SUCCESS 121
111001000   19   20   23   18   19   24   18   19  8.082298 0.425473 SUCCESS 122
111001010   23   26   14   32   23   19   27   15 12.567211 0.127634 SUCCESS 123
111001100   19   22   31   29   21   22   15   17 11.016192 0.200783 SUCCESS 124
111010000   30   27   29   37   24   20   28   25 10.632244 0.223420 SUCCESS 125
111010010   23   16   20   26   25   36   20   22 10.780527 0.214448 SUCCESS 126
111010100   27   24   30   26   21   25   21   23  2.808304 0.945805 SUCCESS 127
111010110   21   28   28   20   25   25   18   21  4.662510 0.792963 SUCCESS 128
111011000   27   29   16   29   21   24   15   27  9.594259 0.294666 SUCCESS 129
111011010   27   22   24   38   23   23   28   21  9.579696 0.295773 SUCCESS 130
111011100   33   26   30   29   28   20   21   21  7.817506 0.451497 SUCCESS 131
111100000   28   25   20   26   23   21   25   23  2.163536 0.975583 SUCCESS 132
111100010   20   28   15   22   25   21   21   15 10.091406 0.258669 SUCCESS 133
111100100   22   18   26   17   31   32   27   18 10.721611 0.217977 SUCCESS 134
111100110   24   33   33   23   21   23   30   21  8.749573 0.363860 SUCCESS 135
111101000   31   33   23   24   30   23   24   23  6.572322 0.583397 SUCCESS 136
111101010   26   25   23   21   20   26   27   24  1.917942 0.983425 SUCCESS 137
111101100   23   25   23   25   21   29   24   24  1.596219 0.990992 SUCCESS 138
111101110   19   30   23   23   29   24   21   17  6.441912 0.597858 SUCCESS 139
111110000   26   29   18   28   24   26   30   26  4.843230 0.774193 SUCCESS 140
111110010   24   20   23   24   32   28   26   17  6.341291 0.609060 SUCCESS 141
111110100   28   27   23   18   32   31   26   25  7.072116 0.528872 SUCCESS 142
111110110   29   24   26   29   25   34   24   23  5.920272 0.656162 SUCCESS 143
111111000   23   25   24   19   28   28   33   23  5.656142 0.685686 SUCCESS 144
111111010   33   30   20   16   25   28   23   27  9.206339 0.325190 SUCCESS 145
111111100   20   25   22   24   26   34   29   24  6.003681 0.646820 SUCCESS 146
111111110   22   22   19   16   23   30   27   20  7.229006 0.512138 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   26   30   19   14   31   17   27   28 12.255418 0.140166 SUCCESS   0
000000011   23   24   16   23   31   24   31   27  7.146920 0.520867 SUCCESS   1
000000101   19   30   21   22   25   30   25   21  5.146417 0.741818 SUCCESS   2
000000111   21   28   16   24   30   27   28   25  6.214853 0.623179 SUCCESS   3
000001001   36   31   22   32   21   20   25   20 12.384504 0.134855 SUCCESS   4
000001011   27   24   21   25   26   31   21   19  4.477156 0.811714 SUCCESS   5
000001101   23   20   18   29   24   20   24   23  4.450014 0.814413 SUCCESS   6
000001111   25   30   16   20   29   24   22   30  7.629503 0.470472 SUCCESS   7
000010001   21   14   24   22   23   19   28   20  8.007494 0.432738 SUCCESS   8
000010011   36   27   24   21   16   21   23   22 10.289338 0.245303 SUCCESS   9
000010101   26   22   28   22   20   30   23   22  3.621216 0.889581 SUCCESS  10
000010111   25   15   29   26   26   26   15   21  9.212297 0.324705 SUCCESS  11
000011001   26   28   32   24   17   25   20   36 11.969443 0.152572 SUCCESS  12
000011011   11   23   18   32   21   21   19   23 14.167216 0.077510 SUCCESS  13
000011101   18   17   27   29   29   25   24   21  6.645801 0.575285 SUCCESS  14
000011111   32   26   23   19   34   26   25   29  8.801208 0.359343 SUCCESS  15
000100011   23   17   28   17   26   21   23   22  6.194993 0.625400 SUCCESS  16
000100101   25   20   20   30   27   20   22   27  4.620805 0.797229 SUCCESS  17
000100111   33   26   24   20   25   25   22   23  4.426845 0.816707 SUCCESS  18
000101001   22   24   33   22   32   17   23   20  9.298354 0.317756 SUCCESS  19
000101011   30   18   22   25   27   24   31   24  5.469463 0.706421 SUCCESS  20
000101101   28   25   18   23   31   28   21   24  5.274179 0.727910 SUCCESS  21
000101111   24   25   29   26   30   23   12   21  9.442004 0.306391 SUCCESS  22
000110011   25   21   25   21   19   27   31   36 10.079491 0.259491 SUCCESS  23
000110101   29   21   29   24   17   25   33   28  8.308695 0.403912 SUCCESS  24
000110111    8   19   20   28   20   21   22   17 17.868345 0.022235 SUCCESS  25
000111001   29   26   28   26   21   21   23   32  5.173558 0.738875 SUCCESS  26
000111011   25   17   30   28   24   25   25   19  5.485351 0.704662 SUCCESS  27
000111101   21   23   15   23   37   15   24   25 14.889436 0.061331 SUCCESS  28
000111111   31   20   26   14   28   25   32   23 10.451523 0.234753 SUCCESS  29
001000011   16   27   24   20   25   21   31   31  8.298765 0.404843 SUCCESS  30
001000101   28   23   25   25   28   15   21   28  5.993751 0.647932 SUCCESS  31
001000111   26   26   25   25   25   21   22   25  1.011691 0.998173 SUCCESS  32
001001011   22   21   16   27   29   22   22   27  5.679311 0.683103 SUCCESS  33
001001101   18   33   33   26   15   26   30   31 15.139002 0.056498 SUCCESS  34
001001111   24   19   31   31   24   30   19   24  7.511671 0.482562 SUCCESS  35
001010011   29   24   30   31   30   26   24   22  5.768016 0.673199 SUCCESS  36
001010101   30   23   28   25   29   30   18   26  6.046710 0.642000 SUCCESS  37
001010111   29   30   18   21   21   26   27   27  5.621719 0.689520 SUCCESS  38
001011011   27   26   22   22   25   25   24   29  1.817321 0.986109 SUCCESS  39
001011101   23   23   35   28   16   20   23   30 10.697118 0.219458 SUCCESS  40
001011111   18   25   22   28   28   19   17   20  7.465994 0.487288 SUCCESS  41
001100101   32   27   19   24   14   25   31   23 10.501834 0.231554 SUCCESS  42
001100111   23   18   30   22   22   20   27   30  6.069879 0.639405 SUCCESS  43
001101011   28   21   32   23   21   18   30   24  7.129709 0.522705 SUCCESS  44
001101101   23   27   27   28   30   26   17   26  5.071613 0.749895 SUCCESS  45
001101111   10   27   15   30   18   25   29   24 16.795276 0.032313 SUCCESS  46
001110101   30   26   24   27   27   31   27   19  5.386054 0.715629 SUCCESS  47
001110111   28   20   25   31   24   30   29   28  6.013611 0.645707 SUCCESS  48
001111011   20   23   17   16   22   15   26   29 11.201546 0.190539 SUCCESS  49
001111101   17   19   20   24   24   23   33   34 11.510029 0.174440 SUCCESS  50
001111111   31   24   18   23   21   29   27   26  5.452252 0.708324 SUCCESS  51
010000011   26   16   21   18   22   28   23   31  8.043241 0.429258 SUCCESS  52
010000111   20   21   22   28   28   20   23   21  4.043559 0.853172 SUCCESS  53
010001011   25   28   23   26   37   18   23   22  9.545273 0.298402 SUCCESS  54
010001111   25   20   28   17   25   22   27   20  5.068965 0.750180 SUCCESS  55
010010011   19   19   32   27   23   30   24   33  9.757768 0.282441 SUCCESS  56
010010111   16   27   27   25   29   22   18   27  6.739141 0.565021 SUCCESS  57
010011011   21   38   31   23   21   29   30   28 13.521786 0.095113 SUCCESS  58
010011111   23   22   32   28   25   29   21   27  5.012697 0.756218 SUCCESS  59
010100011   34   22   20   25   25   36   28   28 11.801300 0.160292 SUCCESS  60
010100111   26   29   21   30   30   18   21   18  8.112087 0.422599 SUCCESS  61
010101011   20   20   31   22   26   31   22   21  6.417418 0.600581 SUCCESS  62
